Time,Person In,Person Out
2022/09/02 11:39:27,1,
2022/09/02 11:39:28,1,
2022/09/02 11:39:31,,1
2022/09/02 11:39:32,1,
2022/09/02 11:39:53,,1
2022/09/02 11:40:06,1,
2022/09/02 11:40:17,1,
2022/09/02 11:40:20,1,
2022/09/02 11:40:46,1,
2022/09/02 11:40:48,1,
2022/09/02 11:41:14,1,
2022/09/02 11:41:16,1,
2022/09/02 11:41:19,,1
2022/09/02 11:41:54,1,
2022/09/02 11:41:55,1,
2022/09/02 11:42:02,1,
2022/09/02 11:42:11,1,
2022/09/02 11:42:12,1,
2022/09/02 11:42:13,,1
2022/09/02 11:42:15,1,
2022/09/02 11:42:16,1,
2022/09/02 11:42:16,,1
2022/09/02 11:42:57,1,
2022/09/02 11:43:17,1,
2022/09/02 11:43:18,,1
2022/09/02 11:43:18,1,
2022/09/02 11:43:21,1,
2022/09/02 11:43:32,,1
2022/09/02 11:43:32,,1
2022/09/02 11:44:08,1,
2022/09/02 11:44:12,1,
2022/09/02 11:44:37,,1
2022/09/02 11:45:03,1,
2022/09/02 11:45:11,,1
2022/09/02 11:45:37,1,
2022/09/02 11:45:54,1,
2022/09/02 11:45:55,1,
2022/09/02 11:46:19,1,
2022/09/02 11:46:31,1,
2022/09/02 11:46:32,1,
2022/09/02 11:46:34,1,
2022/09/02 11:46:36,1,
2022/09/02 11:46:54,,1
2022/09/02 11:47:09,1,
2022/09/02 11:47:11,1,
2022/09/02 11:47:20,,1
2022/09/02 11:47:38,1,
2022/09/02 11:48:04,1,
2022/09/02 11:48:26,,1
2022/09/02 11:48:32,,1
2022/09/02 11:48:55,1,
2022/09/02 11:48:56,1,
2022/09/02 11:48:57,1,
2022/09/02 11:48:58,1,
2022/09/02 11:49:01,1,
2022/09/02 11:49:19,,1
2022/09/02 11:49:37,1,
2022/09/02 11:50:15,,1
2022/09/02 11:50:16,,1
2022/09/02 11:50:25,1,
2022/09/02 11:50:33,1,
2022/09/02 11:51:35,1,
2022/09/02 11:51:38,1,
2022/09/02 11:51:43,1,
2022/09/02 11:51:49,,1
2022/09/02 11:51:49,,1
2022/09/02 11:52:04,,1
